name,phone,email,country,numberrange,currency,postalZip,address
Nissim Eaton,(785) 556-3732,eget.ipsum@yahoo.edu,Turkey,7,$63.14,A4H 8C4,Ap #200-7942 Sed Ave
Cynthia Barnes,(213) 752-7718,vivamus.nisi@protonmail.com,South Korea,10,$10.91,61679,7032 Nam St.
Beck Jacobs,1-331-935-8519,enim.diam@google.com,Vietnam,1,$55.73,765278,"P.O. Box 202, 9936 Posuere Ave"
Arthur Sanders,(743) 328-4903,ornare@protonmail.ca,Poland,10,$94.70,323416,"2778 Ornare, St."
Noel Cortez,(282) 571-2556,purus.ac@outlook.couk,Belgium,4,$73.77,6330,278-161 Fermentum Rd.
Kelsie Browning,(471) 231-3681,convallis@icloud.couk,United Kingdom,9,$64.62,72781-74767,432-7672 Nisl St.
Portia Albert,(295) 445-1332,imperdiet.erat@protonmail.ca,Poland,4,$36.79,165773,Ap #602-5989 Suspendisse Street
Raya Cash,1-238-574-7285,mauris@google.edu,Colombia,5,$69.12,7508,Ap #151-6114 Urna Street
Raya Cole,(477) 453-6741,a.enim@hotmail.org,Netherlands,6,$6.50,444769,1930 Dolor. Road
Kieran Tanner,(174) 789-8417,dolor@google.com,South Africa,2,$32.59,44-76,602-2171 Magna. Road
Lacy Sellers,1-537-703-5625,tempus.risus.donec@outlook.com,India,0,$49.02,48263,Ap #231-3612 Rutrum Rd.
Graham Spence,(496) 298-4755,cras.dolor.dolor@google.com,Mexico,3,$10.49,775751,"5710 A, St."
Kasimir Hood,(265) 169-8836,diam.luctus@yahoo.net,France,8,$13.65,38-64,Ap #416-7369 Massa. Rd.
Regan Shaw,(453) 937-4767,velit.eu@aol.net,South Korea,5,$8.53,1054-4840,907-3836 Dolor Street
Grace Brown,(117) 723-8832,sapien@aol.ca,Turkey,9,$84.94,40606,Ap #789-242 Aliquam Av.
Gabriel Dunn,1-364-462-2317,eu.nibh@google.net,Singapore,7,$81.02,639753,1990 Interdum. Rd.
Colton Meyers,(945) 674-2798,hendrerit@aol.org,Germany,1,$58.30,T52 6FG,Ap #686-1167 Ligula St.
Sharon Greene,(793) 751-1267,at.risus@aol.net,United States,7,$17.36,3389,Ap #291-2727 Blandit. Avenue
Vernon Alvarado,1-914-125-5571,duis.mi@yahoo.ca,Turkey,1,$33.50,64138,5720 Nec St.
Leandra Hahn,(833) 820-2128,aliquam.adipiscing@hotmail.ca,South Africa,2,$65.67,12704,Ap #201-8308 Non Avenue
